사건,신고,출동,구조,복귀,신고시각,출동시각,현장도착시각,구조완료시각,복귀시각,계절명,사고원인명,현장시군구명,소방서명
133,0:01,0:01,0:14,0:03,2023.1.15 21:14,2023.1.15 21:15,2023.1.15 21:16,2023.1.15 21:30,2023.1.15 21:33,겨울,기타 수난 ,서초구,119특수구조단
134,0:01,0:05,0:05,0:08,2023.1.15 21:26,2023.1.15 21:27,2023.1.15 21:32,2023.1.16 21:37,2023.1.16 21:45,겨울,수색,마포구,영등포소방서
135,0:01,0:05,0:10,0:08,2023.1.16 2:26,2023.1.16 2:27,2023.1.16 2:32,2023.1.16 2:42,2023.1.16 2:50,겨울,수색,영등포구,영등포소방서
136,0:00,0:11,1:56,0:00,2023.1.16 8:23,2023.1.16 8:23,2023.1.16 8:34,2023.1.16 10:30,2023.1.16 10:30,겨울,수색,용산구,용산소방서
137,0:00,0:11,1:56,0:00,2023.1.16 8:23,2023.1.16 8:23,2023.1.16 8:34,2023.1.16 10:30,2023.1.16 10:30,겨울,수색,용산구,119특수구조단
138,0:01,0:04,0:11,0:09,2023.1.16 21:20,2023.1.16 21:21,2023.1.16 21:25,2023.1.16 21:36,2023.1.16 21:45,겨울,기타 수난 ,용산구,119특수구조단
139,0:04,0:05,0:02,0:08,2023.1.17 3:56,2023.1.17 4:00,2023.1.17 4:05,2023.1.17 4:07,2023.1.17 4:15,겨울,기타 수난 ,마포구,마포소방서
140,0:00,0:05,0:04,0:12,2023.1.17 7:23,2023.1.17 7:23,2023.1.17 7:28,2023.1.17 7:32,2023.1.17 7:44,겨울,기타 수난 ,마포구,영등포소방서
141,0:03,0:06,0:11,0:15,2023.1.17 14:05,2023.1.17 14:08,2023.1.17 14:14,2023.1.17 14:25,2023.1.17 14:40,겨울,사체인양,용산구,119특수구조단
142,0:01,0:07,0:07,0:06,2023.1.17 19:55,2023.1.17 19:56,2023.1.17 20:03,2023.1.17 20:10,2023.1.17 20:16,겨울,수색,용산구,영등포소방서
143,0:03,0:07,0:00,0:14,2023.1.18 2:21,2023.1.18 2:24,2023.1.18 2:31,2023.1.18 2:31,2023.1.18 2:45,겨울,기타 수난 ,마포구,서대문소방서
144,0:03,0:05,0:08,0:08,2023.1.18 2:21,2023.1.18 2:24,2023.1.18 2:29,2023.1.18 2:37,2023.1.18 2:45,겨울,수색,마포구,119특수구조단
